Collection,Participant,Condition,Recall,Recall_Practice,Total,False_Memories,Notes,Qualitative_Recall,Prescreening,Age,English,Gender,Education,Nationality,Number_Children,Avg_RT,Avg_Severity,Failure,Weight,Time1,Time2,Vac1,Vac2
first,277308,Commission,16,2,18,0,"irritated eyes = itchy eyes, shaking = shivering","Nausea, Irritated eyes, bleeding, vomiting, chills, headache, insomnia, swellin, diarrhoea, shaking, criying, dry mouth, cough, wheezing, sneezing, fever, hoarseness, rash",Antivaxx,32,1,2,3,1,0,1526.229042,4.041666667,8,24,80998,29176,5,4
first,277358,Commission,8,1,9,0,,"shiver, insomnia, chills, wheezing, lightheadedness, cough, weight loss, sneezing, diarrhoea",Antivaxx,48,1,2,2,1,5,1432.034083,4.173913043,16,24,35785.9,17566.2,2,1
first,277375,Commission,12,4,16,0,sore throat = hoarseness,"fever, sore throat, nausea, chills cough, dizziness, sore muscles, headache, earache, abdominal pain, diarrhoea, vomiting, rash, anxiety, irritability, dry mouth",Antivaxx,18,1,2,2,1,0,1302.205896,3.833333333,12,24,32479.4,13141.9,6,6
first,277386,Commission,6,3,9,0,"sickness = nausea, temperature = fever, loss of sleep = insomnia","Tothace, lose of sleep, fever, headache, sickness, earache, temperature,  dizziness,  loss of appetite, ",Antivaxx,39,1,2,2,1,1,1268.102146,4.041666667,18,24,4651.4,1626.6,7,6
first,277408,Commission,14,1,15,0,,"coughing, wheezing, bleeding, abdominal pain, head ache, tooth ache, ear ache, sneezing, lightheartedness, insomnia, loss of appetite, muscle ache, weight loss, crying, diarrhoea, ",Antivaxx,30,1,2,5,2,0,1192.327937,4.25,10,24,33844,7203.6,7,6
first,277483,Commission,11,3,14,0,,"lightheadedness, insomnia, swelling, nausea, bleeding, hoarseness, fever, weightloss, soreness, rash, headaches, coughing, sneezing, chills",Antivaxx,38,1,2,3,1,3,1029.203371,4.333333333,13,24,28658.35,18022.05,6,6
first,277497,Commission,15,1,16,0,,"vomiting, wheezing, cough, dizziness, drymouth, chills, shivering, muscle aches, anxiety, earache, appetite loss, wight loss, nausea, soreness, hoarseness, crying",Antivaxx,25,1,2,3,1,0,1035.171583,4.75,9,24,26850.7,1996.7,2,2
first,277533,Commission,11,1,12,0,,"headache, muscle ache, lightheadedness, vomitting, diarroeah, dizzinness, earache, wheeze, cough, anxiousness, insomnia, bleeding  ",Antivaxx,25,1,2,3,1,1,1524.2748,3.625,13,24,56987.96,7805.54,5,4
first,277610,Commission,10,1,11,0,dry throat = hoarseness (but hoarseness also recalled) = 1,"anxiety, swelling, irritability, hoarseness, bleeding, soreness, earache, headache, tothache, insomnia, diarrhoea, dry throat",Antivaxx,30,1,2,2,1,0,1375.394,4.25,14,24,23617.5,8879.1,5,5
first,277619,Commission,11,1,12,0,,"nausea, vomiting, chills, shivering, loss of appetite, weight loss, headache, bleeding, tootache, abdominal pain, fever, diarrhea,",Antivaxx,40,1,2,3,1,4,1100.250042,6,13,24,2793.1,26571.4,1,1
